Owner,lowest score,File Name, Team ID
dudu666,1.39,submission_20260211_163517.zip,T01
antspeaker,2.21,submission_20260209_214436.zip,T02
shangguanqituan,2.43,submission_20260209_211520.zip,T03
derek4444,2.46,submission_20260209_092311.zip,T04
bryant,2.52,submission_20260209_102449.zip,T05
_bmt_,2.53,submission_20260211_105104.zip,T06
jinghanpeng,2.61,submission_20260209_195117.zip,T07
neobryant,2.74,submission_20260209_183017.zip,T08
hyungseok,3.56,submission_20260209_005501.zip,T09
Seewo,3.64,submission_seewo.zip,T10
m_lab,3.7,submission_20260210_021449.zip,T11
zixuanzhao,3.92,submissionzi.zip,T12
thinkit,4.29,submission_20260211_033010_finalFus.zip,T13
abandon,4.31,submissionaban.zip,T14
iacas,4.34,submission_20260211_021653_fuse3_no.zip,T15
public,4.75,submission_20260205_063955.zip,T16
nikhil_k,4.81,submission_20260210_145139.zip,T17
benjiaman,5.07,cohort.zip,T18
brant,5.1,submission_20260210_143033.zip,T19
sb-kim,5.49,submission_20260211_102942.zip,T20
deepasv,5.5,submission_20260210_135343.zip,T21
aisrc,5.94,submission_20260202_210941.zip,T22
rduroselle,6.12,submission_20260210_225240.zip,T23
wlsdud7907,6.64,submission_FT.zip,T24
dj12388,6.68,submission_20260203_153037.zip,T25
fsaget,7.02,submission_20260209_135415.zip,T26
hhggee,8.35,submissionhhggee.zip,T27
nikoniko,8.4,submission_20260210_021938.zip,T28
nguyentan,8.96,submission_20260211_114304.zip,T29
top1incom,9.06,submission_20260207_150740.zip,T30
afarhadi,9.06,submission_20260126_180524.zip,Baseline
top9028975,9.18,submission_20260211_064143.zip,T31
workgmail,9.27,submission_20260211_115835.zip,T32
lucashueda,10.47,submission_20260211_074337_vfinal_w.zip,T33
sqz_hw,10.54,submissionsqz.zip,T34
arajshah,12.43,submissionara.zip,T35
hbbg-kit,13.99,submission_20260211_150510.zip,T36
darejkal,15.03,result.zip,T37
teamb26,15.05,submission_20260210_235110.zip,T38
malarvizhi,15.51,submission_20260206_095830.zip,T39
ironhide,20.15,submissioniro.zip,T40
chuzy,21.25,submission_20260203_222238.zip,T41
hwu480,21.44,submission_20260209_225900.zip,T42
